Ilan_Tarihi,Marka,Arac_Tip_Grubu,Arac_Tip,Model_Yil,Yakit_Turu,Vites,CCM,Beygir_Gucu,Renk,Kasa_Tipi,Kimden,Durum,Km,Fiyat,Arac_Yasi,Km_Yil
08/04/2020,Acura,RSX,Type-S,2019,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,10209,176750,1,10209.0
08/04/2020,Acura,RSX,Type-S,2019,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,12008,176750,1,12008.0
06/04/2020,Acura,RSX,Type-S,2019,Hibrit,Otomatik Vites,1601-1800 cc,101-125 BG,Mavi ,Sedan,Galeriden,0 km,29218,178900,1,29218.0
03/04/2020,Acura,CL,2.2,2011,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Bordo ,Hatchback 5 Kapı,Sahibinden,2. El,302000,51000,9,33555.555555555555
25/03/2020,Hyundai,Tucson,1.6 GDI Style,2015,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,75000,160000,5,15000.0
01/04/2020,Acura,CL,Diğer,2004,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Gri ,Sedan,Sahibinden,2. El,170000,55000,16,10625.0
27/03/2020,Acura,RSX,Type-S,2019,Hibrit,Otomatik Vites,1601-1800 cc,100 BG ve altı,Diğer ,Diğer,Yetkili,0 km,11400,176750,1,11400.0
26/03/2020,Acura,CL,2.2,2008,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,189000,58750,12,15750.0
22/03/2020,Acura,CL,-,2014,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Sahibinden,2. El,89000,345000,6,14833.333333333334
21/03/2020,Acura,TL,Diğer,2016,Dizel,Düz Vites,Bilmiyorum,Bilmiyorum,Beyaz ,Sedan,Sahibinden,2. El,172000,92000,4,43000.0
16/06/2020,Alfa Romeo,147,1.6 TS Distinctive,2008,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,220000,45000,12,18333.333333333332
15/06/2020,Alfa Romeo,Giulietta,1.6 JTD Distinctive,2013,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,114000,113000,7,16285.714285714286
31/05/2020,Alfa Romeo,147,1.6 TS Distinctive,2004,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,246000,43750,16,15375.0
28/05/2020,Alfa Romeo,Mito,1.4 T MultiAir TCT City,2012,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 3 Kapı,Sahibinden,2. El,100000,108000,8,12500.0
17/05/2020,Alfa Romeo,156,2.0 TS 16V Selespeed,2002,Benzin/LPG,Yarı Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Galeriden,2. El,220000,45000,18,12222.222222222223
12/05/2020,Alfa Romeo,Giulietta,1.6 JTD Super TCT,2018,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Hatchback 5 Kapı,Galeriden,2. El,32000,178750,2,16000.0
12/05/2020,Alfa Romeo,156,1.9 JTD 16V Progression,2016,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Diğer ,Diğer,Yetkili,0 km,41128,236750,4,10282.0
18/04/2020,Alfa Romeo,Diğer,Diğer,2013,Dizel,Düz Vites,1300 cc ve altı,Bilmiyorum,Kırmızı ,Hatchback 3 Kapı,Galeriden,2. El,182000,72950,7,26000.0
