Ilan_Tarihi,Marka,Arac_Tip_Grubu,Arac_Tip,Model_Yil,Yakit_Turu,Vites,CCM,Beygir_Gucu,Renk,Kasa_Tipi,Kimden,Durum,Km,Fiyat,Arac_Yasi,Km_Yil
25/05/2020,BMW,3 Serisi,328i 328i,1999,Benzin/LPG,Düz Vites,2501-3000 cc,176-200 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,380000,62500,21,18095.238095238095
24/05/2020,BMW,3 Serisi,3.20i EfficientDynamics Sport Line,2015,Benzin,Otomatik Vites,1601-1800 cc,126-150 BG,Gri ,Sedan,Galeriden,2. El,50000,265000,5,10000.0
22/05/2020,BMW,5 Serisi,5.20d Comfort,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,185000,250000,6,30833.333333333332
20/05/2020,BMW,5 Serisi,5.20d Exclusive,2011,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Gri ,Sedan,Galeriden,2. El,252000,189900,9,28000.0
19/05/2020,BMW,2 Serisi,218i Active Tourer Active Tourer,2014,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,MPV,Galeriden,2. El,45000,189900,6,7500.0
18/05/2020,BMW,X5,3.0d,2007,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Füme ,Arazi Aracı,Sahibinden,2. El,390000,165000,13,30000.0
17/05/2020,BMW,3 Serisi,3.16i,2014,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,157000,192000,6,26166.666666666668
17/05/2020,BMW,7 Serisi,730i M Sport,2016,Benzin,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,90222,939500,4,22555.5
17/05/2020,BMW,3 Serisi,316i Comfort,2014,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,70000,195000,6,11666.666666666666
17/05/2020,BMW,5 Serisi,520i Premium,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,80000,279750,4,20000.0
17/05/2020,BMW,X3,20d xDrive Comfort,2013,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,182000,245000,7,26000.0
16/05/2020,BMW,5 Serisi,5.25d xDrive Premium,2013,Dizel,Otomatik Vites,2001-2500 cc,226-250 BG,Gri ,Sedan,Sahibinden,2. El,160000,249750,7,22857.14285714286
16/05/2020,BMW,5 Serisi,5.20,1995,Benzin/LPG,Düz Vites,1801-2000 cc,126-150 BG,Mavi ,Sedan,Sahibinden,2. El,350000,28500,25,14000.0
16/05/2020,BMW,5 Serisi,525d xDrive  Premium,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,160000,242000,8,20000.0
16/05/2020,BMW,3 Serisi,3.20i ED EfficientDynamics,2013,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Beyaz ,Sedan,Sahibinden,2. El,78000,215000,7,11142.857142857143
14/05/2020,BMW,X3,"2.0i sDrive
",2015,Benzin,Yarı Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,49367,344500,5,9873.4
14/05/2020,BMW,1 Serisi,1.16i Comfort,2013,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,150000,135500,7,21428.571428571428
13/05/2020,BMW,5 Serisi,5.20d M Sport,2011,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,225000,229900,9,25000.0
12/05/2020,BMW,3 Serisi,320d M Sport,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,279840,192500,8,34980.0
12/05/2020,BMW,5 Serisi,520i Executive Luxury Line,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,29000,320000,4,7250.0
12/05/2020,BMW,5 Serisi,520i Special Edition M Sport,2020,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kahverengi ,Sedan,Galeriden,2. El,1650,645000,0,1650.0
12/05/2020,BMW,Diğer,Diğer,2020,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,200,860000,0,200.0
12/05/2020,BMW,4 Serisi,418i Gran Coupe Prestige,2017,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Spor / Coupe,Galeriden,2. El,24749,309900,3,8249.666666666666
12/05/2020,BMW,X1,18i sDrive Pure,2018,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,20814,297500,2,10407.0
12/05/2020,BMW,X1,Diğer,2018,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,25928,327500,2,12964.0
12/05/2020,BMW,3 Serisi,Diğer,2020,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,1716,476000,0,1716.0
12/05/2020,BMW,5 Serisi,520i Executive M Sport,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,101148,370000,4,25287.0
12/05/2020,BMW,5 Serisi,520i M Sport,2017,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,48959,479000,3,16319.666666666666
12/05/2020,BMW,5 Serisi,520i Executive Luxury Line,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,64000,347500,4,16000.0
12/05/2020,BMW,7 Serisi,740d xDrive M Sport,2011,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,188000,310000,9,20888.88888888889
12/05/2020,BMW,5 Serisi,520i Modern Line,2013,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,175000,249950,7,25000.0
12/05/2020,BMW,Z Serisi,Z4 3.0i sDrive,2020,Benzin,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Mavi ,Roadster,Galeriden,0 km,0,805000,0,0.0
12/05/2020,BMW,3 Serisi,Diğer,2020,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,0 km,0,445000,0,0.0
12/05/2020,BMW,3 Serisi,Diğer,2020,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,0 km,0,494500,0,0.0
12/05/2020,BMW,X5,25d xDrive Premium,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,127099,519000,6,21183.166666666668
12/05/2020,BMW,5 Serisi,520i Special Edition M Sport,2019,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,6830,582500,1,6830.0
12/05/2020,BMW,3 Serisi,Diğer,2020,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,1000,502500,0,1000.0
12/05/2020,BMW,7 Serisi,730i Long M Excellence,2020,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,0 km,0,1715000,0,0.0
12/05/2020,BMW,X1,16d sDrive X Line,2018,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Lacivert ,Arazi Aracı,Galeriden,2. El,30000,360000,2,15000.0
12/05/2020,BMW,5 Serisi,520d Comfort,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,240000,315650,6,40000.0
12/05/2020,BMW,3 Serisi,318i Edition M Sport,2018,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,65000,299650,2,32500.0
12/05/2020,BMW,1 Serisi,116i Comfort,2014,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,88000,164900,6,14666.666666666666
12/05/2020,BMW,5 Serisi,520i Luxury Line,2019,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,3000,555000,1,3000.0
12/05/2020,BMW,X5,25d xDrive Premium,2015,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Kahverengi ,Arazi Aracı,Galeriden,2. El,107000,510000,5,21400.0
12/05/2020,BMW,3 Serisi,320i ED Sport Line,2014,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,146000,198999,6,24333.333333333332
12/05/2020,BMW,7 Serisi,730d Long Exclusive,2012,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,206000,359999,8,25750.0
12/05/2020,BMW,1 Serisi,118i Joy,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,106000,164500,4,26500.0
12/05/2020,BMW,3 Serisi,316i Comfort,2011,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,144000,122750,9,16000.0
12/05/2020,BMW,5 Serisi,5.20i M Sport,2016,Benzin,Otomatik Vites,1301-1600 cc,100 BG ve altı,Siyah ,Sedan,Sahibinden,2. El,110000,347000,4,27500.0
12/05/2020,BMW,5 Serisi,5.20d,2007,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Sahibinden,2. El,320000,120000,13,24615.384615384617
11/05/2020,BMW,5 Serisi,5.25d xDrive,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,201-225 BG,Siyah ,Sedan,Sahibinden,2. El,135000,380000,6,22500.0
11/05/2020,BMW,3 Serisi,318i Prestige,2017,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,60000,275000,3,20000.0
11/05/2020,BMW,3 Serisi,3.20d Sport,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,259782,185000,8,32472.75
10/05/2020,BMW,3 Serisi,3.16i,2009,Benzin/LPG,Düz Vites,1601-1800 cc,151-175 BG,Siyah ,Sedan,Sahibinden,2. El,180000,105000,11,16363.636363636364
09/05/2020,BMW,3 Serisi,3.16i,2013,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Sahibinden,2. El,140000,150000,7,20000.0
09/05/2020,BMW,5 Serisi,5.20i Business,1997,Benzin/LPG,Düz Vites,1801-2000 cc,151-175 BG,Gri ,Sedan,Sahibinden,2. El,435,43000,23,18.91304347826087
07/05/2020,BMW,X5,4.4i,2001,Benzin/LPG,Otomatik Vites,2501-3000 cc,176-200 BG,Gümüş Gri ,Arazi Aracı,Sahibinden,2. El,238500,73000,19,12552.631578947368
07/05/2020,BMW,X5,30d xDrive,2009,Dizel,Otomatik Vites,2501-3000 cc,226-250 BG,Siyah ,Arazi Aracı,Galeriden,2. El,220000,250000,11,20000.0
06/05/2020,BMW,3 Serisi,3.20i EfficientDynamics Sport Line,2020,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Gri ,Sedan,Galeriden,0 km,10,459750,0,10.0
06/05/2020,BMW,3 Serisi,3.20d Sport,2012,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Sahibinden,2. El,130000,160500,8,16250.0
06/05/2020,BMW,5 Serisi,5.20d Standart,2013,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Gri ,Sedan,Galeriden,2. El,167000,263000,7,23857.14285714286
05/05/2020,BMW,5 Serisi,5.20,2017,Benzin,Yarı Otomatik Vites,1301-1600 cc,176-200 BG,Beyaz ,Sedan,Sahibinden,2. El,14000,279000,3,4666.666666666667
05/05/2020,BMW,3 Serisi,3.20i EfficientDynamics Sport Line,2020,Benzin,Otomatik Vites,1301-1600 cc,151-175 BG,Beyaz ,Sedan,Galeriden,0 km,10,459750,0,10.0
04/05/2020,BMW,3 Serisi,3.20i,1991,Benzin/LPG,Otomatik Vites,1801-2000 cc,126-150 BG,Altın ,Sedan,Sahibinden,2. El,242000,45000,29,8344.827586206897
02/05/2020,BMW,1 Serisi,1.20i,2005,Benzin/LPG,Otomatik Vites,1801-2000 cc,126-150 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,209000,88500,15,13933.333333333334
02/05/2020,BMW,3 Serisi,3.18i,1993,Benzin/LPG,Düz Vites,1601-1800 cc,101-125 BG,Lacivert ,Sedan,Sahibinden,2. El,315000,29500,27,11666.666666666666
01/05/2020,BMW,3 Serisi,3.16i,1995,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Kırmızı ,Sedan,Sahibinden,2. El,294000,35000,25,11760.0
01/05/2020,BMW,3 Serisi,320i ED Sport Plus,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,46535,252500,4,11633.75
01/05/2020,BMW,5 Serisi,520i Executive,2018,Benzin,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,12470,489500,2,6235.0
01/05/2020,BMW,4 Serisi,418i Gran Coupe Prestige,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Kahverengi ,Spor / Coupe,Galeriden,2. El,56911,287500,4,14227.75
01/05/2020,BMW,5 Serisi,520i Premium,2014,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,170000,249000,6,28333.333333333332
01/05/2020,BMW,7 Serisi,730d Long Exclusive,2011,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,202000,319500,9,22444.444444444445
01/05/2020,BMW,5 Serisi,520i Executive,2014,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,70767,305000,6,11794.5
01/05/2020,BMW,3 Serisi,318i Premium Line,2018,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,70000,295650,2,35000.0
01/05/2020,BMW,Diğer,Diğer,2017,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,63000,645000,3,21000.0
01/05/2020,BMW,5 Serisi,520i Executive M Sport,2017,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,79000,469500,3,26333.333333333332
01/05/2020,BMW,5 Serisi,520i Comfort,2015,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,149000,254900,5,29800.0
28/04/2020,BMW,3 Serisi,3.20i,1997,Benzin/LPG,Otomatik Vites,1801-2000 cc,126-150 BG,Gri ,Sedan,Sahibinden,2. El,287,46000,23,12.478260869565217
24/04/2020,BMW,7 Serisi,Diğer,1989,Benzin/LPG,Düz Vites,2501-3000 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,300000,52500,31,9677.41935483871
24/04/2020,BMW,7 Serisi,7.45iL,2004,Benzin,Yarı Otomatik Vites,4001-4500 cc,326-350 BG,Siyah ,Sedan,Galeriden,2. El,250000,125000,16,15625.0
23/04/2020,BMW,3 Serisi,3.16i,2005,Benzin/LPG,Düz Vites,1301-1600 cc,126-150 BG,Lacivert ,Station Wagon,Galeriden,2. El,377000,62500,15,25133.333333333332
22/04/2020,BMW,X5,30d xDrive,2008,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,308000,179000,12,25666.666666666668
22/04/2020,BMW,5 Serisi,520d Gran Turismo Luxury Line,2013,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,106319,334500,7,15188.42857142857
22/04/2020,BMW,5 Serisi,Diğer,2013,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,128500,265000,7,18357.14285714286
22/04/2020,BMW,X5,25d xDrive Premium,2016,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri ,Arazi Aracı,Galeriden,2. El,124865,585000,4,31216.25
22/04/2020,BMW,2 Serisi,Diğer,2015,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Üstü Açık / Cabriolet,Galeriden,2. El,70000,245000,5,14000.0
22/04/2020,BMW,3 Serisi,3.16i,2005,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,280000,63500,15,18666.666666666668
22/04/2020,BMW,5 Serisi,525d xDrive  M Sport,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,106000,396900,6,17666.666666666668
22/04/2020,BMW,X5,30d xDrive,2010,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,2. El,235000,249900,10,23500.0
22/04/2020,BMW,Diğer,Diğer,2018,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,48000,585000,2,24000.0
22/04/2020,BMW,3 Serisi,3.15,1981,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Turuncu ,Spor / Coupe,Sahibinden,2. El,140000,37500,39,3589.74358974359
20/04/2020,BMW,5 Serisi,5.20i Comfort,2014,Benzin,Yarı Otomatik Vites,1601-1800 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,119000,270000,6,19833.333333333332
19/04/2020,BMW,3 Serisi,3.20,1994,Benzin/LPG,Düz Vites,1801-2000 cc,Bilmiyorum,Lacivert ,Diğer,Sahibinden,2. El,190000,32000,26,7307.692307692308
19/04/2020,BMW,X5,3.0d xDrive Exclusive,2006,Dizel,Otomatik Vites,2501-3000 cc,251-275 BG,Siyah ,Arazi Aracı,Sahibinden,2. El,370000,125000,14,26428.571428571428
18/04/2020,BMW,2 Serisi,Diğer,2020,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Kırmızı ,Spor / Coupe,Galeriden,0 km,10,429900,0,10.0
18/04/2020,BMW,5 Serisi,525d xDrive  M Sport,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,240000,243000,8,30000.0
18/04/2020,BMW,5 Serisi,520i M Sport,2000,Benzin/LPG,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,286000,57500,20,14300.0
18/04/2020,BMW,3 Serisi,318i M Joy Plus,2015,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,136000,195000,5,27200.0
18/04/2020,BMW,4 Serisi,420d Luxury Line,2015,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Üstü Açık / Cabriolet,Galeriden,2. El,35000,465000,5,7000.0
18/04/2020,BMW,3 Serisi,318i Standart,1998,Benzin/LPG,Düz Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,297000,39500,22,13500.0
18/04/2020,BMW,5 Serisi,525d xDrive  Executive,2016,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,96000,392000,4,24000.0
18/04/2020,BMW,3 Serisi,320d xDrive Modern Line,2012,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,233245,168500,8,29155.625
18/04/2020,BMW,3 Serisi,320d M Sport,2010,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Üstü Açık / Cabriolet,Galeriden,2. El,178000,187000,10,17800.0
18/04/2020,BMW,5 Serisi,520i Standart,1997,Benzin/LPG,Otomatik Vites,1801-2000 cc,Bilmiyorum,Mavi ,Sedan,Galeriden,2. El,320000,47500,23,13913.04347826087
18/04/2020,BMW,3 Serisi,320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,64000,325000,4,16000.0
18/04/2020,BMW,1 Serisi,116d ED EfficientDynamics,2014,Dizel,Düz Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,180000,126750,6,30000.0
18/04/2020,BMW,3 Serisi,320d Standart,2012,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Spor / Coupe,Galeriden,2. El,182000,158000,8,22750.0
18/04/2020,BMW,3 Serisi,320i ED M Plus,2014,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,110000,202500,6,18333.333333333332
18/04/2020,BMW,3 Serisi,320d Modern Line,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Kahverengi ,Sedan,Galeriden,2. El,113000,227000,6,18833.333333333332
18/04/2020,BMW,3 Serisi,320d M Sport,2012,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,240000,149500,8,30000.0
18/04/2020,BMW,X1,Diğer,2014,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,100000,200000,6,16666.666666666668
18/04/2020,BMW,6 Serisi,640xd Gran Coupe,2013,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Bej ,Spor / Coupe,Galeriden,2. El,79000,565000,7,11285.714285714286
18/04/2020,BMW,6 Serisi,640xd Gran Coupe,2013,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Spor / Coupe,Galeriden,2. El,118000,549000,7,16857.14285714286
18/04/2020,BMW,X3,20d Premium,2009,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Gümüş Gri ,Arazi Aracı,Galeriden,2. El,274000,118900,11,24909.090909090908
18/04/2020,BMW,5 Serisi,525d xDrive  Premium,2014,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,191000,285000,6,31833.333333333332
18/04/2020,BMW,3 Serisi,320i Premium,2005,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,206000,93000,15,13733.333333333334
18/04/2020,BMW,5 Serisi,520d Premium,2011,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,225000,192000,9,25000.0
18/04/2020,BMW,5 Serisi,520d Premium,2012,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,214000,208000,8,26750.0
18/04/2020,BMW,7 Serisi,730d Standart,2007,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,337000,157750,13,25923.076923076922
18/04/2020,BMW,5 Serisi,525d xDrive  Premium,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,249000,225000,8,31125.0
18/04/2020,BMW,5 Serisi,525d xDrive  M Sport,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,190000,235000,8,23750.0
18/04/2020,BMW,7 Serisi,730d Long Standart,2005,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,369000,137500,15,24600.0
18/04/2020,BMW,7 Serisi,740d xDrive Exclusive,2012,Dizel,Yarı Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,292000,274900,8,36500.0
18/04/2020,BMW,3 Serisi,330xi Standart,2001,Benzin/LPG,Otomatik Vites,2501-3000 cc,Bilmiyorum,Gümüş Gri ,Sedan,Galeriden,2. El,299000,69950,19,15736.842105263158
18/04/2020,BMW,3 Serisi,320i ED Sport Line,2015,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,128000,219500,5,25600.0
18/04/2020,BMW,5 Serisi,525d xDrive  M Sport,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,201885,195000,8,25235.625
18/04/2020,BMW,3 Serisi,320d Premium,2010,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,239000,118750,10,23900.0
18/04/2020,BMW,1 Serisi,116i Standart,2008,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,243000,78750,12,20250.0
18/04/2020,BMW,3 Serisi,320Cd,2005,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Spor / Coupe,Galeriden,2. El,256000,105000,15,17066.666666666668
18/04/2020,BMW,1 Serisi,116i Comfort,2012,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,125000,137000,8,15625.0
18/04/2020,BMW,1 Serisi,Diğer,2020,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,10,359000,0,10.0
18/04/2020,BMW,2 Serisi,Diğer,2020,Dizel,Otomatik Vites,1301-1600 cc,Bilmiyorum,Gümüş Gri ,Spor / Coupe,Galeriden,2. El,10,449000,0,10.0
18/04/2020,BMW,5 Serisi,520d Comfort,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,176000,212000,8,22000.0
18/04/2020,BMW,X5,30d,2005,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Siyah ,Arazi Aracı,Galeriden,2. El,310000,116500,15,20666.666666666668
18/04/2020,BMW,3 Serisi,316i M Sport,2011,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,158000,129000,9,17555.555555555555
18/04/2020,BMW,X6,Diğer,2011,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,218000,310000,9,24222.222222222223
18/04/2020,BMW,3 Serisi,320d xDrive Sport Plus,2017,Dizel,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Sedan,Galeriden,2. El,61000,284750,3,20333.333333333332
18/04/2020,BMW,3 Serisi,320i ED Sport Plus,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,70000,244750,4,17500.0
18/04/2020,BMW,3 Serisi,318i Premium Line,2017,Benzin,Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,60000,275000,3,20000.0
